Date,Children apprehended and placed in CBP custody*,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,Validation
2023-01-02,25.0,32.0,27.0,"7,903",231.0,True
2023-01-03,0.0,0.0,0.0,"7,903",0.0,True
2023-01-04,0.0,0.0,0.0,"7,903",0.0,True
2023-01-05,224.0,315.0,152.0,"8,492",237.0,True
2023-01-06,56.0,82.0,68.0,"7,002",287.0,True
2023-01-07,0.0,0.0,0.0,"7,002",0.0,True
2023-01-08,87.0,246.0,173.0,"8,103",168.0,True
2023-01-09,0.0,0.0,0.0,"8,103",0.0,True
2023-01-10,0.0,0.0,0.0,"8,103",0.0,True
2023-01-11,132.0,235.0,197.0,"9,250",279.0,True
2023-01-12,0.0,0.0,0.0,"9,250",0.0,True
2023-01-13,0.0,0.0,0.0,"9,250",0.0,True
2023-01-14,0.0,0.0,0.0,"9,250",0.0,True
2023-01-15,0.0,0.0,0.0,"9,250",0.0,True
2023-01-16,0.0,0.0,0.0,"9,250",0.0,True
2023-01-17,0.0,0.0,0.0,"9,250",0.0,True
2023-01-18,0.0,0.0,0.0,"9,250",0.0,True
2023-01-19,0.0,0.0,0.0,"9,250",0.0,True
2023-01-20,0.0,0.0,0.0,"9,250",0.0,True
2023-01-21,0.0,0.0,0.0,"9,250",0.0,True
2023-01-22,32.0,49.0,39.0,"7,122",227.0,True
2023-01-23,32.0,50.0,39.0,"7,280",181.0,True
2023-01-24,0.0,0.0,0.0,"7,280",0.0,True
2023-01-25,0.0,0.0,0.0,"7,280",0.0,True
2023-01-26,0.0,0.0,0.0,"7,280",0.0,True
2023-01-27,0.0,0.0,0.0,"7,280",0.0,True
2023-01-28,0.0,0.0,0.0,"7,280",0.0,True
2023-01-29,23.0,45.0,11.0,"7,472",303.0,True
2023-01-30,34.0,54.0,29.0,"7,743",196.0,True
2023-01-31,26.0,36.0,36.0,"7,803",158.0,True
2023-02-01,0.0,0.0,0.0,"7,803",0.0,True
2023-02-02,0.0,0.0,0.0,"7,803",0.0,True
2023-02-03,130.0,227.0,192.0,"7,870",335.0,True
2023-02-04,125.0,232.0,192.0,"7,981",304.0,True
2023-02-05,167.0,326.0,213.0,"8,654",245.0,True
2023-02-06,0.0,0.0,0.0,"8,654",0.0,True
2023-02-07,209.0,285.0,184.0,"5,903",309.0,True
2023-02-08,84.0,171.0,157.0,"8,261",271.0,True
2023-02-09,0.0,0.0,0.0,"8,261",0.0,True
2023-02-10,107.0,170.0,133.0,"10,724",284.0,True
2023-02-11,0.0,0.0,0.0,"10,724",0.0,True
2023-02-12,0.0,0.0,0.0,"10,724",0.0,True
2023-02-13,186.0,259.0,172.0,"7,483",244.0,True
2023-02-14,154.0,225.0,220.0,"7,794",223.0,True
2023-02-15,91.0,199.0,172.0,"7,869",290.0,True
2023-02-16,81.0,213.0,153.0,"7,793",361.0,True
2023-02-17,0.0,0.0,0.0,"7,793",0.0,True
2023-02-18,0.0,0.0,0.0,"7,793",0.0,True
2023-02-19,0.0,0.0,0.0,"7,793",0.0,True
2023-02-20,209.0,285.0,184.0,"7,817",209.0,True
2023-02-21,184.0,314.0,217.0,"7,967",213.0,True
2023-02-22,0.0,0.0,0.0,"7,967",0.0,True
2023-02-23,0.0,0.0,0.0,"7,967",0.0,True
2023-02-24,0.0,0.0,0.0,"7,967",0.0,True
2023-02-25,0.0,0.0,0.0,"7,967",0.0,True
2023-02-26,99.0,190.0,176.0,"7,609",323.0,True
2023-02-27,167.0,239.0,166.0,"7,800",248.0,True
2023-02-28,115.0,216.0,169.0,"7,896",200.0,True
2023-03-01,0.0,0.0,0.0,"7,896",0.0,True
2023-03-02,0.0,0.0,0.0,"7,896",0.0,True
2023-03-03,0.0,0.0,0.0,"7,896",0.0,True
2023-03-04,0.0,0.0,0.0,"7,896",0.0,True
2023-03-05,209.0,353.0,232.0,"8,704",267.0,True
2023-03-06,0.0,0.0,0.0,"8,704",0.0,True
2023-03-07,0.0,0.0,0.0,"8,704",0.0,True
2023-03-08,167.0,209.0,157.0,"8,294",339.0,True
2023-03-09,0.0,0.0,0.0,"8,294",0.0,True
2023-03-10,99.0,156.0,139.0,"10,818",287.0,True
2023-03-11,0.0,0.0,0.0,"10,818",0.0,True
2023-03-12,132.0,235.0,197.0,"10,579",417.0,True
2023-03-13,104.0,230.0,206.0,"7,567",249.0,True
2023-03-14,147.0,276.0,214.0,"7,810",181.0,True
2023-03-15,108.0,220.0,213.0,"7,915",286.0,True
2023-03-16,180.0,280.0,146.0,"7,989",308.0,True
2023-03-17,0.0,0.0,0.0,"7,989",0.0,True
2023-03-18,0.0,0.0,0.0,"7,989",0.0,True
2023-03-19,134.0,294.0,186.0,"7,885",306.0,True
2023-03-20,202.0,313.0,158.0,"7,931",279.0,True
2023-03-21,110.0,272.0,193.0,"8,050",221.0,True
2023-03-22,166.0,277.0,229.0,"8,097",246.0,True
2023-03-23,136.0,276.0,178.0,"8,102",331.0,True
2023-03-24,0.0,0.0,0.0,"8,102",0.0,True
2023-03-25,0.0,0.0,0.0,"8,102",0.0,True
2023-03-26,87.0,246.0,173.0,"7,847",352.0,True
2023-03-27,84.0,171.0,157.0,"7,994",235.0,True
2023-03-28,167.0,209.0,157.0,"8,079",223.0,True
2023-03-29,109.0,245.0,159.0,"8,208",267.0,True
2023-03-30,156.0,256.0,176.0,"8,158",359.0,True
2023-03-31,0.0,0.0,0.0,"8,158",0.0,True
2023-04-01,0.0,0.0,0.0,"8,158",0.0,True
2023-04-02,0.0,0.0,0.0,"8,158",0.0,True
2023-04-03,0.0,0.0,0.0,"8,158",0.0,True
2023-04-04,142.0,235.0,139.0,"8,068",259.0,True
2023-04-05,0.0,0.0,0.0,"8,068",0.0,True
2023-04-06,74.0,103.0,80.0,"6,555",292.0,True
2023-04-07,184.0,314.0,217.0,"6,127",124.0,True
2023-04-08,0.0,0.0,0.0,"6,127",0.0,True
2023-04-09,196.0,306.0,187.0,"9,988",293.0,True
2023-04-10,0.0,0.0,0.0,"9,988",0.0,True
2023-04-11,0.0,0.0,0.0,"9,988",0.0,True
2023-04-12,0.0,0.0,0.0,"9,988",0.0,True
2023-04-13,109.0,214.0,173.0,"7,795",370.0,True
2023-04-14,0.0,0.0,0.0,"7,795",0.0,True
2023-04-15,0.0,0.0,0.0,"7,795",0.0,True
2023-04-16,191.0,283.0,192.0,"7,380",272.0,True
2023-04-17,170.0,297.0,196.0,"7,344",248.0,True
2023-04-18,152.0,272.0,214.0,"7,376",234.0,True
