Date,Children apprehended and placed in CBP custody*,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,Validation,Transfers_Error,Discharges_Error,Reporting_Anomaly,Total System Load,Net Daily Intake,Care Load Growth Rate (%),Backlog Indicator,Backlog Days
2023-01-02,25.0,32.0,27.0,7903,231.0,True,False,False,False,7935.0,-204.0,0.0,Decreasing,0
2023-01-03,0.0,0.0,0.0,7903,0.0,True,False,False,False,7903.0,0.0,-0.40327662255829066,Stable,0
2023-01-04,0.0,0.0,0.0,7903,0.0,True,False,False,False,7903.0,0.0,0.0,Stable,0
2023-01-05,224.0,315.0,152.0,8492,237.0,True,False,False,False,8807.0,-85.0,11.438694166772102,Decreasing,0
2023-01-06,56.0,82.0,68.0,7002,287.0,True,False,False,False,7084.0,-219.0,-19.563983195185653,Decreasing,0
2023-01-07,0.0,0.0,0.0,7002,0.0,True,False,False,False,7002.0,0.0,-1.1575381140598529,Stable,0
2023-01-08,87.0,246.0,173.0,8103,168.0,True,False,False,False,8349.0,5.0,19.237360754070277,Increasing,2
2023-01-09,0.0,0.0,0.0,8103,0.0,True,False,False,False,8103.0,0.0,-2.9464606539705396,Stable,0
2023-01-10,0.0,0.0,0.0,8103,0.0,True,False,False,False,8103.0,0.0,0.0,Stable,0
2023-01-11,132.0,235.0,197.0,9250,279.0,True,False,False,False,9485.0,-82.0,17.05541157595951,Decreasing,0
2023-01-12,0.0,0.0,0.0,9250,0.0,True,False,False,False,9250.0,0.0,-2.477596204533472,Stable,0
2023-01-13,0.0,0.0,0.0,9250,0.0,True,False,False,False,9250.0,0.0,0.0,Stable,0
2023-01-14,0.0,0.0,0.0,9250,0.0,True,False,False,False,9250.0,0.0,0.0,Stable,0
2023-01-15,0.0,0.0,0.0,9250,0.0,True,False,False,False,9250.0,0.0,0.0,Stable,0
2023-01-16,0.0,0.0,0.0,9250,0.0,True,False,False,False,9250.0,0.0,0.0,Stable,0
2023-01-17,0.0,0.0,0.0,9250,0.0,True,False,False,False,9250.0,0.0,0.0,Stable,0
2023-01-18,0.0,0.0,0.0,9250,0.0,True,False,False,False,9250.0,0.0,0.0,Stable,0
2023-01-19,0.0,0.0,0.0,9250,0.0,True,False,False,False,9250.0,0.0,0.0,Stable,0
2023-01-20,0.0,0.0,0.0,9250,0.0,True,False,False,False,9250.0,0.0,0.0,Stable,0
2023-01-21,0.0,0.0,0.0,9250,0.0,True,False,False,False,9250.0,0.0,0.0,Stable,0
2023-01-22,32.0,49.0,39.0,7122,227.0,True,False,False,False,7171.0,-188.0,-22.475675675675678,Decreasing,0
2023-01-23,32.0,50.0,39.0,7280,181.0,True,False,False,False,7330.0,-142.0,2.2172639799191263,Decreasing,0
2023-01-24,0.0,0.0,0.0,7280,0.0,True,False,False,False,7280.0,0.0,-0.6821282401091366,Stable,0
2023-01-25,0.0,0.0,0.0,7280,0.0,True,False,False,False,7280.0,0.0,0.0,Stable,0
2023-01-26,0.0,0.0,0.0,7280,0.0,True,False,False,False,7280.0,0.0,0.0,Stable,0
2023-01-27,0.0,0.0,0.0,7280,0.0,True,False,False,False,7280.0,0.0,0.0,Stable,0
2023-01-28,0.0,0.0,0.0,7280,0.0,True,False,False,False,7280.0,0.0,0.0,Stable,0
2023-01-29,23.0,45.0,11.0,7472,303.0,True,False,False,False,7517.0,-292.0,3.255494505494516,Decreasing,0
2023-01-30,34.0,54.0,29.0,7743,196.0,True,False,False,False,7797.0,-167.0,3.7248902487694524,Decreasing,0
2023-01-31,26.0,36.0,36.0,7803,158.0,True,False,False,False,7839.0,-122.0,0.538668718737978,Decreasing,0
2023-02-01,0.0,0.0,0.0,7803,0.0,True,False,False,False,7803.0,0.0,-0.4592422502870286,Stable,0
2023-02-02,0.0,0.0,0.0,7803,0.0,True,False,False,False,7803.0,0.0,0.0,Stable,0
2023-02-03,130.0,227.0,192.0,7870,335.0,True,False,False,False,8097.0,-143.0,3.7677816224529037,Decreasing,0
2023-02-04,125.0,232.0,192.0,7981,304.0,True,False,False,False,8213.0,-112.0,1.432629368902072,Decreasing,0
2023-02-05,167.0,326.0,213.0,8654,245.0,True,False,False,False,8980.0,-32.0,9.33885303786679,Decreasing,0
2023-02-06,0.0,0.0,0.0,8654,0.0,True,False,False,False,8654.0,0.0,-3.6302895322939843,Stable,0
2023-02-07,209.0,285.0,184.0,5903,309.0,True,False,False,False,6188.0,-125.0,-28.495493413450422,Decreasing,0
2023-02-08,84.0,171.0,157.0,8261,271.0,True,False,False,False,8432.0,-114.0,36.26373626373627,Decreasing,0
2023-02-09,0.0,0.0,0.0,8261,0.0,True,False,False,False,8261.0,0.0,-2.0279886148007575,Stable,0
