Date,Children apprehended and placed in CBP custody*,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,Validation,Transfers_Error,Discharges_Error,Reporting_Anomaly,Total System Load,Net Daily Intake,Care Load Growth Rate (%),Backlog Indicator,Backlog Days,7-Day Rolling Load,High Load Period,7-Day Rolling Avg,14-Day Rolling Avg,7-Day Std Dev,14-Day Std Dev,CV (%),High Load,Consecutive High Load Days,Prolonged Strain
2023-01-02,25.0,32.0,27.0,7903,231.0,True,False,False,False,7935.0,-204.0,0.0,Decreasing,0,,False,7935.0,7935.0,,,,False,0,False
2023-01-03,0.0,0.0,0.0,7903,0.0,True,False,False,False,7903.0,0.0,-0.40327662255829066,Stable,0,,False,7919.0,7919.0,22.627416997969522,22.627416997969522,0.28573578732124666,False,0,False
2023-01-04,0.0,0.0,0.0,7903,0.0,True,False,False,False,7903.0,0.0,0.0,Stable,0,,False,7913.666666666667,7913.666666666667,18.47520861406809,18.47520861406809,0.23345952505035286,False,0,False
2023-01-05,224.0,315.0,152.0,8492,237.0,True,False,False,False,8807.0,-85.0,11.438694166772102,Decreasing,0,,False,8137.0,8137.0,446.92132044317,446.92132044317,5.4924581595572075,False,0,False
2023-01-06,56.0,82.0,68.0,7002,287.0,True,False,False,False,7084.0,-219.0,-19.563983195185653,Decreasing,0,,False,7926.4,7926.4,609.5619738796047,609.5619738796047,7.690275205384597,False,0,False
2023-01-07,0.0,0.0,0.0,7002,0.0,True,False,False,False,7002.0,0.0,-1.1575381140598529,Stable,0,,False,7772.333333333333,7772.333333333333,663.077572133658,663.077572133658,8.531254948754016,False,0,False
2023-01-08,87.0,246.0,173.0,8103,168.0,True,False,False,False,8349.0,5.0,19.237360754070277,Increasing,2,7854.714285714285,False,7854.714285714285,7854.714285714285,643.3502711809263,643.3502711809263,8.190626008523514,False,0,False
2023-01-09,0.0,0.0,0.0,8103,0.0,True,False,False,False,8103.0,0.0,-2.9464606539705396,Stable,0,7878.714285714285,False,7878.714285714285,7885.75,649.9442833263258,602.0604502159941,8.249369881387974,False,0,False
2023-01-10,0.0,0.0,0.0,8103,0.0,True,False,False,False,8103.0,0.0,0.0,Stable,0,7907.285714285715,False,7907.285714285715,7909.888888888889,655.5615186707536,567.8127870267726,8.290601128607026,False,0,False
2023-01-11,132.0,235.0,197.0,9250,279.0,True,False,False,False,9485.0,-82.0,17.05541157595951,Decreasing,0,8133.285714285715,False,8133.285714285715,8067.4,886.0208263702976,731.2218389639206,10.893762465691397,False,0,False
